id,name,cohort,context_A,context_B
artifact_aider,Aider,oss_project,an open-source AI coding assistant that pairs with git repositories,an open-source software project
artifact_clicknp,ClickNP,oss_project,a research framework for FPGA-based network function programming,an open-source software project
artifact_cursor,Cursor,oss_project,an AI-powered code editor from Anysphere,an open-source software project
artifact_ollama,Ollama,oss_project,an open-source tool for running large language models locally,an open-source software project
artifact_statsmodels,statsmodels,oss_project,the Python library for statistical modeling,an open-source software project
artifact_instructor,Instructor,oss_project,an open-source structured-output library for OpenAI,an open-source software project
artifact_whisper,Whisper,oss_project,an open-source automatic speech recognition system from OpenAI,an open-source software project
artifact_pyro,Pyro,oss_project,Uber's probabilistic programming library on PyTorch,an open-source software project
artifact_onnx_runtime,ONNX Runtime,oss_project,a cross-platform inference runtime for ONNX models,an open-source software project
artifact_openspiel,OpenSpiel,oss_project,DeepMind's open-source reinforcement learning game framework,an open-source software project
artifact_dgl,DGL,oss_project,the Deep Graph Library for graph neural networks,an open-source software project
artifact_eagle,EAGLE,oss_project,a speculative-decoding inference acceleration framework,an open-source software project
artifact_cub,CUB,oss_project,NVIDIA's CUDA primitive library,an open-source software project
artifact_sockeye,Sockeye,oss_project,Amazon's open-source NMT toolkit,an open-source software project
artifact_rocm,ROCm,oss_project,AMD's open-source GPU computing platform,an open-source software project
artifact_catboost,CatBoost,oss_project,Yandex's gradient boosting framework,an open-source software project
artifact_perplexity,Perplexity,oss_project,an AI-powered search engine,an open-source software project
artifact_ray_serve,Ray Serve,oss_project,Ray's distributed serving library,an open-source software project
artifact_pydantic,Pydantic,oss_project,the Python data validation library used in many AI tools,an open-source software project
mid_tier_politician_kyrsten_sinema,Kyrsten Sinema,mid_tier_politician,former US Senator AZ,a politician
mid_tier_politician_ilhan_omar,Ilhan Omar,mid_tier_politician,US Representative MN-5,a politician
mid_tier_politician_douard_philippe,Édouard Philippe,mid_tier_politician,"French politician, Horizons",a politician
mid_tier_politician_adam_schiff,Adam Schiff,mid_tier_politician,"US Senator CA, former Representative",a politician
mid_tier_politician_narendra_modi,Narendra Modi,mid_tier_politician,Indian Prime Minister,a politician
mid_tier_politician_ayanna_pressley,Ayanna Pressley,mid_tier_politician,US Representative MA-7,a politician
mid_tier_politician_friedrich_merz,Friedrich Merz,mid_tier_politician,German CDU leader,a politician
mid_tier_politician_arvind_kejriwal,Arvind Kejriwal,mid_tier_politician,"Aam Aadmi Party leader, former Delhi CM",a politician
mid_tier_politician_ron_desantis,Ron DeSantis,mid_tier_politician,Florida Governor,a politician
mid_tier_politician_yair_lapid,Yair Lapid,mid_tier_politician,"Israeli politician, Yesh Atid leader",a politician
mid_tier_politician_pierre_poilievre,Pierre Poilievre,mid_tier_politician,Canadian Conservative leader,a politician
mid_tier_politician_lee_jae_myung,Lee Jae-myung,mid_tier_politician,South Korea opposition leader,a politician
mid_tier_politician_kay_ivey,Kay Ivey,mid_tier_politician,Alabama Governor,a politician
mid_tier_politician_gideon_saar,Gideon Saar,mid_tier_politician,Israeli politician,a politician
mid_tier_politician_peter_dutton,Peter Dutton,mid_tier_politician,Australian Liberal Party leader,a politician
mid_tier_politician_j_d__vance,J.D. Vance,mid_tier_politician,"US Vice President, former Senator OH",a politician
mid_tier_politician_cori_bush,Cori Bush,mid_tier_politician,former US Representative MO-1,a politician
mid_tier_politician_josh_hawley,Josh Hawley,mid_tier_politician,US Senator MO,a politician
mid_tier_politician_mark_warner,Mark Warner,mid_tier_politician,US Senator VA,a politician
mid_tier_politician_robert_habeck,Robert Habeck,mid_tier_politician,German Greens politician,a politician
mid_tier_politician_jordan_bardella,Jordan Bardella,mid_tier_politician,"French politician, RN president",a politician
mid_tier_politician_katie_porter,Katie Porter,mid_tier_politician,former US Representative CA-47,a politician
mid_tier_politician_joe_manchin,Joe Manchin,mid_tier_politician,former US Senator WV,a politician
mid_tier_politician_henry_mcmaster,Henry McMaster,mid_tier_politician,South Carolina Governor,a politician
mid_tier_politician_christopher_luxon,Christopher Luxon,mid_tier_politician,New Zealand Prime Minister,a politician
mid_tier_politician_cory_booker,Cory Booker,mid_tier_politician,US Senator NJ,a politician
mid_tier_politician_annalena_baerbock,Annalena Baerbock,mid_tier_politician,former German Foreign Minister,a politician
mid_tier_politician_tim_kaine,Tim Kaine,mid_tier_politician,US Senator VA,a politician
mid_tier_politician_anthony_desposito,Anthony D'Esposito,mid_tier_politician,former US Representative NY-4,a politician
mid_tier_politician_gabriel_attal,Gabriel Attal,mid_tier_politician,former French Prime Minister,a politician
artifact_adept,Adept,ai_startup_or_company,the AI agent startup,a technology company
artifact_rabbit,Rabbit,ai_startup_or_company,the AI device company that made the R1,a technology company
artifact_baichuan_ai,Baichuan AI,ai_startup_or_company,Wang Xiaochuan's AI company,a technology company
artifact_meta_ai_research,Meta AI Research,ai_startup_or_company,Meta's AI research lab (formerly FAIR),a technology company
artifact_tabnine,Tabnine,ai_startup_or_company,the AI code completion company,a technology company
artifact_elevenlabs_company,ElevenLabs (company),ai_startup_or_company,the AI voice synthesis company,a technology company
artifact_stability_ai,Stability AI,ai_startup_or_company,the company behind Stable Diffusion,a technology company
artifact_langchain_company,LangChain (company),ai_startup_or_company,the company commercializing LangChain,a technology company
artifact_crew_ai_company,Crew AI (company),ai_startup_or_company,the company commercializing CrewAI,a technology company
artifact_runway,Runway,ai_startup_or_company,the AI video creation platform,a technology company
artifact_step,Step,ai_startup_or_company,the Chinese AI company that developed Step-2,a technology company
artifact_mistral_ai_company,Mistral AI (company),ai_startup_or_company,the French frontier-model AI company,a technology company
artifact_cursor_company,Cursor (company),ai_startup_or_company,the AI code editor company Anysphere,a technology company
artifact_sierra,Sierra,ai_startup_or_company,Bret Taylor's enterprise AI startup,a technology company
artifact_manus,Manus,ai_startup_or_company,the Chinese AI agent platform,a technology company
artifact_01_ai,01.AI,ai_startup_or_company,Kai-Fu Lee's AI company that developed Yi,a technology company
artifact_mintlify,Mintlify,ai_startup_or_company,the AI documentation platform,a technology company
artifact_tbingen_ai_center,Tübingen AI Center,ai_startup_or_company,the German AI research center,a technology company
artifact_genspark,GenSpark,ai_startup_or_company,the AI search platform,a technology company
artifact_lightning_ai,Lightning AI,ai_startup_or_company,the company commercializing PyTorch Lightning,a technology company
mid_tier_filmmaker_spike_lee,Spike Lee,mid_tier_filmmaker,"American filmmaker, Do the Right Thing, BlacKkKlansman",a filmmaker
mid_tier_filmmaker_boots_riley,Boots Riley,mid_tier_filmmaker,"American filmmaker, Sorry to Bother You",a filmmaker
mid_tier_filmmaker_noah_baumbach,Noah Baumbach,mid_tier_filmmaker,"American filmmaker, Marriage Story, White Noise",a filmmaker
mid_tier_filmmaker_david_fincher,David Fincher,mid_tier_filmmaker,"American filmmaker, Seven, Zodiac, The Killer",a filmmaker
mid_tier_filmmaker_olivier_assayas,Olivier Assayas,mid_tier_filmmaker,"French filmmaker, Personal Shopper",a filmmaker
mid_tier_filmmaker_carla_simn,Carla Simón,mid_tier_filmmaker,"Spanish filmmaker, Alcarràs",a filmmaker
mid_tier_filmmaker_barry_jenkins,Barry Jenkins,mid_tier_filmmaker,"American filmmaker, Moonlight, If Beale Street Could Talk",a filmmaker
mid_tier_filmmaker_claire_denis,Claire Denis,mid_tier_filmmaker,"French filmmaker, High Life",a filmmaker
mid_tier_filmmaker_ava_duvernay,Ava DuVernay,mid_tier_filmmaker,"American filmmaker, Selma, 13th",a filmmaker
mid_tier_filmmaker_ruben_stlund,Ruben Östlund,mid_tier_filmmaker,"Swedish filmmaker, Triangle of Sadness",a filmmaker
mid_tier_filmmaker_charlie_kaufman,Charlie Kaufman,mid_tier_filmmaker,"American filmmaker, Synecdoche New York",a filmmaker
mid_tier_filmmaker_bruno_dumont,Bruno Dumont,mid_tier_filmmaker,"French filmmaker, Joan of Arc",a filmmaker
mid_tier_filmmaker_lulu_wang,Lulu Wang,mid_tier_filmmaker,"American filmmaker, The Farewell",a filmmaker
mid_tier_filmmaker_cline_sciamma,Céline Sciamma,mid_tier_filmmaker,"French filmmaker, Portrait of a Lady on Fire",a filmmaker
mid_tier_filmmaker_ari_aster,Ari Aster,mid_tier_filmmaker,"American filmmaker, Hereditary, Beau Is Afraid",a filmmaker
mid_tier_filmmaker_alfonso_cuarn,Alfonso Cuarón,mid_tier_filmmaker,"Mexican filmmaker, Roma, Children of Men",a filmmaker
mid_tier_filmmaker_paul_thomas_anderson,Paul Thomas Anderson,mid_tier_filmmaker,"American filmmaker, There Will Be Blood, Licorice Pizza",a filmmaker
mid_tier_filmmaker_lila_avils,Lila Avilés,mid_tier_filmmaker,"Mexican filmmaker, The Chambermaid",a filmmaker
mid_tier_filmmaker_denis_villeneuve,Denis Villeneuve,mid_tier_filmmaker,"Canadian filmmaker, Dune, Arrival",a filmmaker
mid_tier_filmmaker_alejandro_gonzlez_irritu,Alejandro González Iñárritu,mid_tier_filmmaker,"Mexican filmmaker, Birdman, The Revenant",a filmmaker
bojie_li,Bojie Li,reference_pilot,"a researcher and entrepreneur in AI infrastructure, currently Chief Scientist of Pine AI",a software engineer
jiayi_weng,Jiayi Weng,reference_pilot,"an engineer at OpenAI working on infrastructure, formerly a research engineer at Sea AI Lab and PhD student at Tsinghua University",a software engineer
tianshou,Tianshou,reference_pilot,an open-source library for reinforcement learning,a software project
tuixue_online,tuixue.online,reference_pilot,a website that monitors U.S. visa appointment availability for international applicants,a software project
tri_dao,Tri Dao,reference_pilot,"a researcher in efficient deep-learning systems, currently faculty at Princeton University and chief scientist at Together AI",a software engineer
andrej_karpathy,Andrej Karpathy,reference_pilot,"a computer scientist, AI educator, and founder of Eureka Labs, formerly a director at Tesla and a co-founder of OpenAI",a software engineer
suresh_kumar,Suresh Kumar,reference_pilot,"the Chief Technology Officer and Chief Development Officer of Walmart, a U.S. retail company",a software engineer
sam_altman,Sam Altman,reference_pilot,the CEO of OpenAI,a software engineer
geoffrey_hinton,Geoffrey Hinton,reference_pilot,"a computer scientist known as one of the founders of modern deep learning, formerly at Google and the University of Toronto",a software engineer
flashattention,FlashAttention,reference_pilot,an attention algorithm for efficient transformer training and inference,a software project
