id,title,article,start_year,start_month,country,region,region_group,category,peak_views,total_views,eff_duration,days_above_10,tail_daily,peak_date,gold_words
event_heidelberg_university_shooting,Heidelberg University shooting,Heidelberg_University_shooting,2022,1,Germany,Western Europe,Western Europe,crime_legal,8758,66842,7.63,9,86.2,20220125,79
event_2023_sierra_leonean_general_election,2023 Sierra Leonean general election,2023_Sierra_Leonean_general_election,2023,6,Sierra Leone,Sub-Saharan Africa,Middle East & Africa,politics_elections,5984,66799,11.16,17,49.2,20230625,142
event_typhoon_doksuri,Typhoon Doksuri,Typhoon_Doksuri,2023,7,China,East Asia,East Asia,natural_disaster,1272,65074,51.16,198,104.0,20230829,195
event_2022_bratislava_shooting,2022 Bratislava shooting,2022_Bratislava_shooting,2022,10,Slovakia,Western Europe,Western Europe,conflict_terrorism,5783,63992,11.07,13,105.1,20221014,183
event_mariupol_hospital_airstrike,Mariupol hospital airstrike,Mariupol_hospital_airstrike,2022,3,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,2621,62183,23.72,47,80.3,20220317,146
event_2023_beninese_parliamentary_election,2023 Beninese parliamentary election,2023_Beninese_parliamentary_election,2023,1,Benin,Sub-Saharan Africa,Middle East & Africa,politics_elections,10999,60919,5.54,15,31.7,20230119,56
event_2023_atlanta_shooting,2023 Atlanta shooting,2023_Atlanta_shooting,2023,5,United States,North America,Anglo-America & Oceania,crime_legal,13066,59064,4.52,6,33.3,20230504,57
event_death_and_funeral_of_mikhail_gorbachev,Death and funeral of Mikhail Gorbachev,Death_and_funeral_of_Mikhail_Gorbachev,2022,8,Russia,Eastern Europe & Russia,Eastern Europe & Russia,royalty_ceremony,3986,58303,14.63,12,113.3,20220903,132
event_mladenovac_and_smederevo_shootings,Mladenovac and Smederevo shootings,Mladenovac_and_Smederevo_shootings,2023,5,Serbia,Eastern Europe & Russia,Eastern Europe & Russia,crime_legal,986,54226,55.0,231,100.0,20231221,186
event_2021_hualien_train_derailment,2021 Hualien train derailment,2021_Hualien_train_derailment,2021,4,Taiwan,East Asia,East Asia,accident_disaster,13096,51464,3.93,5,34.7,20210402,150
event_2021_kyrgyzstan_tajikistan_clashes,2021 Kyrgyzstan–Tajikistan clashes,2021_Kyrgyzstan–Tajikistan_clashes,2021,4,Kyrgyzstan,Central Asia & Caucasus,South & Southeast Asia,conflict_terrorism,2337,51241,21.93,49,415.0,20220128,44
event_2023_trabuco_canyon_shooting,2023 Trabuco Canyon shooting,2023_Trabuco_Canyon_shooting,2023,8,United States,North America,Anglo-America & Oceania,crime_legal,6115,49967,8.17,15,35.0,20230824,45
event_2021_south_korean_by_elections,2021 South Korean by-elections,2021_South_Korean_by-elections,2021,4,South Korea,East Asia,East Asia,politics_elections,6011,48992,8.15,11,95.3,20210407,178
event_2023_chilean_constitutional_referendum,2023 Chilean constitutional referendum,2023_Chilean_constitutional_referendum,2023,12,Chile,Latin America,Latin America,politics_elections,9370,48818,5.21,3,46.7,20231218,78
event_2023_russian_elections,2023 Russian elections,2023_Russian_elections,2023,9,Russia,Eastern Europe & Russia,Eastern Europe & Russia,politics_elections,4489,47645,10.61,11,60.4,20230911,57
event_2021_piedade_de_caratinga_beechcraft_king_air_crash,2021 Piedade de Caratinga Beechcraft King Air crash,2021_Piedade_de_Caratinga_Beechcraft_King_Air_crash,2021,11,Brazil,Latin America,Latin America,accident_disaster,14611,47015,3.22,3,27.0,20211106,59
event_2023_french_senate_election,2023 French Senate election,2023_French_Senate_election,2023,9,France,Western Europe,Western Europe,politics_elections,2303,47012,20.41,48,122.3,20230925,43
event_coronation_concert,Coronation Concert,Coronation_Concert,2023,5,United Kingdom,Western Europe,Western Europe,entertainment_culture,5881,46987,7.99,5,57.5,20230508,66
event_february_2022_north_american_winter_storm,February 2022 North American winter storm,February_2022_North_American_winter_storm,2022,2,United States,North America,Anglo-America & Oceania,natural_disaster,2624,45264,17.25,31,94.1,20220205,173
event_inauguration_of_javier_milei,Inauguration of Javier Milei,Inauguration_of_Javier_Milei,2023,12,Argentina,Latin America,Latin America,royalty_ceremony,7777,45172,5.81,5,34.3,20231210,78
event_sanaa_crowd_crush,Sanaa crowd crush,Sanaa_crowd_crush,2023,4,Yemen,Middle East & North Africa,Middle East & Africa,accident_disaster,11249,43988,3.91,5,3.6,20230422,69
event_juno_awards_of_2023,Juno Awards of 2023,Juno_Awards_of_2023,2023,3,Canada,North America,Anglo-America & Oceania,entertainment_culture,8419,43826,5.21,6,61.5,20230314,160
event_2022_abu_dhabi_attack,2022 Abu Dhabi attack,2022_Abu_Dhabi_attack,2022,1,United Arab Emirates,Middle East & North Africa,Middle East & Africa,conflict_terrorism,3861,43631,11.3,19,67.4,20220118,54
event_2022_plateau_state_massacres,2022 Plateau State massacres,2022_Plateau_State_massacres,2022,4,Nigeria,Sub-Saharan Africa,Middle East & Africa,conflict_terrorism,7231,41787,5.78,7,7.0,20220418,41
event_ayacucho_massacre,Ayacucho massacre,Ayacucho_massacre,2022,12,Peru,Latin America,Latin America,conflict_terrorism,1599,40539,25.35,60,48.4,20221217,176
event_daunte_wright_protests,Daunte Wright protests,Daunte_Wright_protests,2021,4,United States,North America,Anglo-America & Oceania,civil_unrest,4166,40329,9.68,14,41.2,20210414,187
event_2021_salisbury_rail_crash,2021 Salisbury rail crash,2021_Salisbury_rail_crash,2021,10,United Kingdom,Western Europe,Western Europe,accident_disaster,6461,38803,6.01,8,39.0,20211101,50
event_january_2022_north_american_blizzard,January 2022 North American blizzard,January_2022_North_American_blizzard,2022,1,International,North America,Anglo-America & Oceania,natural_disaster,2460,38678,15.72,32,149.1,20220130,178
event_listvyazhnaya_mine_disaster,Listvyazhnaya mine disaster,Listvyazhnaya_mine_disaster,2021,11,Russia,Eastern Europe & Russia,Eastern Europe & Russia,accident_disaster,10468,38439,3.67,5,17.6,20211129,76
event_2021_palmas_fr_plane_crash,2021 Palmas FR plane crash,2021_Palmas_FR_plane_crash,2021,1,Brazil,Latin America,Latin America,accident_disaster,2948,37170,12.61,12,43.8,20210126,85
event_2023_philippine_airspace_closure,2023 Philippine airspace closure,2023_Philippine_airspace_closure,2023,1,Philippines,Southeast Asia,South & Southeast Asia,accident_disaster,1533,36703,23.94,32,50.6,20230103,198
event_juliaca_massacre,Juliaca massacre,Juliaca_massacre,2023,1,Peru,Latin America,Latin America,civil_unrest,3263,34401,10.54,17,44.8,20230110,191
event_wimbledon_school_crash,Wimbledon school crash,Wimbledon_school_crash,2023,7,United Kingdom,Western Europe,Western Europe,accident_disaster,1411,33234,23.55,43,84.0,20240321,161
event_2022_nauruan_parliamentary_election,2022 Nauruan parliamentary election,2022_Nauruan_parliamentary_election,2022,9,Nauru,Oceania,Anglo-America & Oceania,politics_elections,5147,33233,6.46,9,16.0,20221003,41
event_29_december_2023_russian_strikes_on_ukraine,29 December 2023 Russian strikes on Ukraine,29_December_2023_Russian_strikes_on_Ukraine,2023,12,Ukraine,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,5588,33167,5.94,7,18.6,20231230,64
event_nduga_hostage_crisis,Nduga hostage crisis,Nduga_hostage_crisis,2023,2,Indonesia,Southeast Asia,South & Southeast Asia,conflict_terrorism,1981,32763,16.54,12,105.4,20230208,50
event_2022_southwest_airlines_scheduling_crisis,2022 Southwest Airlines scheduling crisis,2022_Southwest_Airlines_scheduling_crisis,2022,12,United States,North America,Anglo-America & Oceania,business_tech,5055,32242,6.38,1,74.8,20230207,183
event_2022_ekiti_state_gubernatorial_election,2022 Ekiti State gubernatorial election,2022_Ekiti_State_gubernatorial_election,2022,6,Nigeria,Sub-Saharan Africa,Middle East & Africa,politics_elections,4479,32160,7.18,13,9.3,20220618,194
event_2023_coulson_aviation_boeing_737_crash,2023 Coulson Aviation Boeing 737 crash,2023_Coulson_Aviation_Boeing_737_crash,2023,2,Australia,Oceania,Anglo-America & Oceania,accident_disaster,477,30726,64.42,215,115.3,20240118,68
event_assassination_of_vladlen_tatarsky,Assassination of Vladlen Tatarsky,Assassination_of_Vladlen_Tatarsky,2023,4,Russia,Eastern Europe & Russia,Eastern Europe & Russia,conflict_terrorism,4078,30241,7.42,8,156.4,20240125,111
event_2023_ankara_bombing,2023 Ankara bombing,2023_Ankara_bombing,2023,10,Turkey,Middle East & North Africa,Middle East & Africa,conflict_terrorism,4217,30172,7.15,8,41.8,20231002,76
event_2023_demise_honours,2023 Demise Honours,2023_Demise_Honours,2023,3,United Kingdom,Western Europe,Western Europe,royalty_ceremony,9986,30155,3.02,3,33.1,20230325,71
event_2021_national_games_of_china,2021 National Games of China,2021_National_Games_of_China,2021,9,China,East Asia,East Asia,sports,1508,29760,19.73,33,24.9,20210916,105
event_2023_shandong_high_altitude_object,2023 Shandong high-altitude object,2023_Shandong_high-altitude_object,2023,2,China,East Asia,East Asia,other,11037,23819,2.16,3,12.3,20230213,194
event_2023_andhra_pradesh_train_collision,2023 Andhra Pradesh train collision,2023_Andhra_Pradesh_train_collision,2023,10,India,South Asia,South & Southeast Asia,accident_disaster,1157,22360,19.33,31,17.0,20240303,92
event_ateneo_de_manila_university_shooting,Ateneo de Manila University shooting,Ateneo_de_Manila_University_shooting,2022,7,Philippines,Southeast Asia,South & Southeast Asia,crime_legal,2587,21576,8.34,7,38.5,20220729,57
event_the_queen_s_platinum_jubilee_beacons,The Queen's Platinum Jubilee Beacons,The_Queen's_Platinum_Jubilee_Beacons,2022,6,International,Global,Global,royalty_ceremony,8600,21572,2.51,5,9.6,20220602,93
event_2021_hong_kong_election_committee_subsector_elections,2021 Hong Kong Election Committee Subsector elections,2021_Hong_Kong_Election_Committee_Subsector_elections,2021,9,China,East Asia,East Asia,politics_elections,2344,20790,8.87,17,7.3,20210920,180
event_typhoon_lan_2023,Typhoon Lan (2023),Typhoon_Lan_(2023),2023,8,Japan,East Asia,East Asia,natural_disaster,524,19140,36.53,84,23.4,20230827,184
event_2023_antisemitic_riots_in_the_north_caucasus,2023 antisemitic riots in the North Caucasus,2023_antisemitic_riots_in_the_North_Caucasus,2023,10,Russia,Eastern Europe & Russia,Eastern Europe & Russia,civil_unrest,1449,18811,12.98,21,29.3,20240625,40
event_2023_caquet_cessna_stationair_crash,2023 Caquetá Cessna Stationair crash,2023_Caquetá_Cessna_Stationair_crash,2023,5,Colombia,Latin America,Latin America,accident_disaster,732,17783,24.29,55,21.4,20240107,87
event_2022_united_kingdom_heatwaves,2022 United Kingdom heatwaves,2022_United_Kingdom_heatwaves,2022,6,United Kingdom,Western Europe,Western Europe,natural_disaster,1166,17783,15.25,19,17.8,20220816,173
event_2023_northwest_territories_general_election,2023 Northwest Territories general election,2023_Northwest_Territories_general_election,2023,11,Canada,North America,Anglo-America & Oceania,politics_elections,1348,16533,12.26,26,28.9,20231115,143
event_october_2021_tehreek_e_labbaik_pakistan_protests,October 2021 Tehreek-e-Labbaik Pakistan protests,October_2021_Tehreek-e-Labbaik_Pakistan_protests,2021,10,Pakistan,South Asia,South & Southeast Asia,civil_unrest,1264,13850,10.96,16,9.4,20211023,56
event_2022_azadi_march,2022 Azadi march,2022_Azadi_march,2022,5,Pakistan,South Asia,South & Southeast Asia,civil_unrest,1341,13675,10.2,17,3.0,20220525,133
event_2023_dengue_outbreak_in_bangladesh,2023 dengue outbreak in Bangladesh,2023_dengue_outbreak_in_Bangladesh,2023,4,Bangladesh,South Asia,South & Southeast Asia,health,545,12993,23.84,96,19.2,20230929,199
event_2021_guangzhou_bombing,2021 Guangzhou bombing,2021_Guangzhou_bombing,2021,3,China,East Asia,East Asia,conflict_terrorism,3217,12813,3.98,5,9.1,20210323,102
event_2021_rio_de_janeiro_shootout,2021 Rio de Janeiro shootout,2021_Rio_de_Janeiro_shootout,2021,5,Brazil,Latin America,Latin America,conflict_terrorism,2232,12178,5.46,6,13.9,20210507,58
event_2022_sindh_local_government_elections,2022 Sindh local government elections,2022_Sindh_local_government_elections,2022,6,Pakistan,South Asia,South & Southeast Asia,politics_elections,889,11101,12.49,27,7.1,20230115,61
event_july_2023_tel_aviv_attack,July 2023 Tel Aviv attack,July_2023_Tel_Aviv_attack,2023,7,Israel,Middle East & North Africa,Middle East & Africa,conflict_terrorism,1584,11026,6.96,9,9.1,20230705,42
event_saudades_massacre,Saudades massacre,Saudades_massacre,2021,5,Brazil,Latin America,Latin America,crime_legal,1069,10988,10.28,14,15.1,20210505,74
event_2021_maduo_earthquake,2021 Maduo earthquake,2021_Maduo_earthquake,2021,5,China,East Asia,East Asia,natural_disaster,619,10752,17.37,31,17.0,20210522,127
event_2022_2023_philippine_sugar_crisis,2022–2023 Philippine sugar crisis,2022–2023_Philippine_sugar_crisis,2022,8,Philippines,Southeast Asia,South & Southeast Asia,business_tech,141,10396,73.73,188,24.3,20230118,129
event_2023_south_america_heat_wave,2023 South America heat wave,2023_South_America_heat_wave,2023,7,International,Latin America,Latin America,natural_disaster,860,10124,11.77,15,14.4,20231118,178
event_2022_maryland_question_4,2022 Maryland Question 4,2022_Maryland_Question_4,2022,11,United States,North America,Anglo-America & Oceania,politics_elections,485,9946,20.51,20,13.5,20221109,61
event_2022_23_national_t20_cup,2022–23 National T20 Cup,2022–23_National_T20_Cup,2022,8,Pakistan,South Asia,South & Southeast Asia,sports,730,9685,13.27,18,9.3,20220919,73
event_kostroma_caf_fire,Kostroma café fire,Kostroma_café_fire,2022,11,Russia,Eastern Europe & Russia,Eastern Europe & Russia,accident_disaster,2114,9623,4.55,4,10.0,20221105,52
event_2021_march_4_justice,2021 March 4 Justice,2021_March_4_Justice,2021,3,Australia,Oceania,Anglo-America & Oceania,civil_unrest,656,9443,14.39,21,20.0,20210315,125
event_2022_guizhou_bus_crash,2022 Guizhou bus crash,2022_Guizhou_bus_crash,2022,9,China,East Asia,East Asia,accident_disaster,1016,9387,9.24,11,5.3,20220919,81
event_2022_indonesian_student_protests,2022 Indonesian student protests,2022_Indonesian_student_protests,2022,4,Indonesia,Southeast Asia,South & Southeast Asia,civil_unrest,652,9106,13.97,20,7.8,20220412,129
event_2022_ya_an_earthquake,2022 Ya'an earthquake,2022_Ya'an_earthquake,2022,6,China,East Asia,East Asia,natural_disaster,1109,9059,8.17,11,6.7,20220601,55
event_gaza_war,Gaza war,Gaza_war,2023,10,Israel,Middle East & North Africa,Middle East & Africa,conflict_terrorism,147,8722,59.33,259,14.8,20231009,199
event_laval_daycare_bus_crash,Laval daycare bus crash,Laval_daycare_bus_crash,2023,2,Canada,North America,Anglo-America & Oceania,accident_disaster,949,8521,8.98,8,10.8,20230311,155
event_2023_jaipur_express_killings,2023 Jaipur Express killings,2023_Jaipur_Express_killings,2023,7,India,South Asia,South & Southeast Asia,crime_legal,215,8490,39.49,145,33.6,20230802,73
event_2023_saint_henri_sainte_anne_provincial_by_election,2023 Saint-Henri—Sainte-Anne provincial by-election,2023_Saint-Henri—Sainte-Anne_provincial_by-election,2023,3,Canada,North America,Anglo-America & Oceania,politics_elections,1369,8471,6.19,6,5.7,20230314,43
event_2021_women_s_state_of_origin,2021 Women's State of Origin,2021_Women's_State_of_Origin,2021,6,Australia,Oceania,Anglo-America & Oceania,sports,4250,8345,1.96,2,5.3,20210625,58
event_2023_mexico_city_metro_train_crash,2023 Mexico City Metro train crash,2023_Mexico_City_Metro_train_crash,2023,1,Mexico,Latin America,Latin America,accident_disaster,429,8188,19.09,40,10.3,20230301,65
event_2022_kech_district_attack,2022 Kech District attack,2022_Kech_District_attack,2022,1,Pakistan,South Asia,South & Southeast Asia,conflict_terrorism,293,7831,26.73,49,16.3,20220129,182
event_2022_turkish_super_cup,2022 Turkish Super Cup,2022_Turkish_Super_Cup,2022,7,Turkey,Middle East & North Africa,Middle East & Africa,sports,299,7464,24.96,52,25.0,20220730,87
event_2021_dali_earthquake,2021 Dali earthquake,2021_Dali_earthquake,2021,5,China,East Asia,East Asia,natural_disaster,999,7406,7.41,7,6.2,20210522,47
event_2023_vote_of_no_confidence_in_the_government_of_pedro_s_nche,2023 vote of no confidence in the government of Pedro Sánchez,2023_vote_of_no_confidence_in_the_government_of_Pedro_Sánchez,2023,3,Spain,Western Europe,Western Europe,politics_elections,2487,7213,2.9,3,2.6,20230322,143
event_2023_mercedes_benz_factory_shooting,2023 Mercedes-Benz factory shooting,2023_Mercedes-Benz_factory_shooting,2023,5,Germany,Western Europe,Western Europe,crime_legal,2623,7131,2.72,3,5.6,20230511,123
event_protests_against_the_imprisonment_of_pablo_has_l,Protests against the imprisonment of Pablo Hasél,Protests_against_the_imprisonment_of_Pablo_Hasél,2021,2,Spain,Western Europe,Western Europe,civil_unrest,670,7018,10.47,16,5.2,20210222,159
event_afaka_kidnapping,Afaka kidnapping,Afaka_kidnapping,2021,3,Nigeria,Sub-Saharan Africa,Middle East & Africa,conflict_terrorism,256,6688,26.12,59,13.0,20210505,69
event_2023_marseille_building_collapse,2023 Marseille building collapse,2023_Marseille_building_collapse,2023,4,France,Western Europe,Western Europe,accident_disaster,105,6173,58.79,273,12.0,20230415,70
event_2022_royal_tour_of_canada,2022 royal tour of Canada,2022_royal_tour_of_Canada,2022,5,Canada,North America,Anglo-America & Oceania,royalty_ceremony,331,5680,17.16,30,5.8,20220909,75
event_storm_franklin,Storm Franklin,Storm_Franklin,2022,2,International,Western Europe,Western Europe,natural_disaster,759,5568,7.34,5,8.0,20220221,101
event_2023_doda_bus_accident,2023 Doda bus accident,2023_Doda_bus_accident,2023,11,India,South Asia,South & Southeast Asia,accident_disaster,883,5504,6.23,9,2.2,20231115,44
event_2021_kilmarnock_incidents,2021 Kilmarnock incidents,2021_Kilmarnock_incidents,2021,2,United Kingdom,Western Europe,Western Europe,crime_legal,1172,5250,4.48,3,7.3,20210205,195
event_2021_east_asia_sandstorm,2021 East Asia sandstorm,2021_East_Asia_sandstorm,2021,3,China,East Asia,East Asia,natural_disaster,629,5215,8.29,7,20.2,20220114,59
event_white_rock_lake_fire,White Rock Lake fire,White_Rock_Lake_fire,2021,7,Canada,North America,Anglo-America & Oceania,natural_disaster,176,5119,29.09,85,14.2,20210819,77
event_2022_kusel_shooting,2022 Kusel shooting,2022_Kusel_shooting,2022,1,Germany,Western Europe,Western Europe,crime_legal,907,4937,5.44,9,9.1,20220201,50
event_2023_wamena_riot,2023 Wamena riot,2023_Wamena_riot,2023,2,Indonesia,Southeast Asia,South & Southeast Asia,civil_unrest,771,4546,5.9,6,6.3,20230224,62
event_2021_flores_earthquake,2021 Flores earthquake,2021_Flores_earthquake,2021,12,Indonesia,Southeast Asia,South & Southeast Asia,natural_disaster,347,4248,12.24,20,10.8,20211214,42
event_2023_rio_grande_do_sul_floods,2023 Rio Grande do Sul floods,2023_Rio_Grande_do_Sul_floods,2023,9,Brazil,Latin America,Latin America,natural_disaster,452,3772,8.35,16,3.3,20230907,84
event_typhoon_cempaka,Typhoon Cempaka,Typhoon_Cempaka,2021,7,China,East Asia,East Asia,natural_disaster,301,3744,12.44,20,7.2,20211101,183
event_2023_detroit_casino_strike,2023 Detroit casino strike,2023_Detroit_casino_strike,2023,10,United States,North America,Anglo-America & Oceania,business_tech,174,3350,19.25,41,1.4,20231018,81
event_2021_imperial_county_car_crash,2021 Imperial County car crash,2021_Imperial_County_car_crash,2021,3,United States,North America,Anglo-America & Oceania,accident_disaster,136,3346,24.6,61,4.4,20211211,50
event_2022_balochistan_local_government_elections,2022 Balochistan local government elections,2022_Balochistan_local_government_elections,2022,5,Pakistan,South Asia,South & Southeast Asia,politics_elections,235,3267,13.9,18,3.4,20221212,79
event_late_december_2021_bahia_floods,Late December 2021 Bahia floods,Late_December_2021_Bahia_floods,2021,12,Brazil,Latin America,Latin America,natural_disaster,539,3266,6.06,9,2.3,20211228,190
event_moscow_multifunctional_center_shooting,Moscow Multifunctional Center shooting,Moscow_Multifunctional_Center_shooting,2021,12,Russia,Eastern Europe & Russia,Eastern Europe & Russia,crime_legal,217,3185,14.68,23,8.6,20220525,43
event_2022_central_american_and_caribbean_beach_games,2022 Central American and Caribbean Beach Games,2022_Central_American_and_Caribbean_Beach_Games,2022,11,Colombia,Latin America,Latin America,sports,149,3075,20.64,39,3.6,20221126,59
event_2021_luxian_earthquake,2021 Luxian earthquake,2021_Luxian_earthquake,2021,9,China,East Asia,East Asia,natural_disaster,91,2694,29.6,88,2.4,20210925,105
event_prima_v_kpu,PRIMA v. KPU,PRIMA_v._KPU,2023,3,Indonesia,Southeast Asia,South & Southeast Asia,politics_elections,668,2303,3.45,3,4.3,20230412,153
event_cpc_and_world_political_parties_summit,CPC and World Political Parties Summit,CPC_and_World_Political_Parties_Summit,2021,7,China,East Asia,East Asia,politics_elections,118,2251,19.08,41,6.3,20220510,84
event_2021_sudanese_coup_d_tat,2021 Sudanese coup d'état,2021_Sudanese_coup_d'état,2021,10,Sudan,Sub-Saharan Africa,Middle East & Africa,politics_elections,695,2132,3.07,5,0.6,20211026,198
event_2023_astore_avalanche,2023 Astore avalanche,2023_Astore_avalanche,2023,5,Pakistan,South Asia,South & Southeast Asia,natural_disaster,634,2035,3.21,4,1.3,20230528,59
event_2023_north_waziristan_landmine_attack,2023 North Waziristan landmine attack,2023_North_Waziristan_landmine_attack,2023,8,Pakistan,South Asia,South & Southeast Asia,conflict_terrorism,53,1932,36.45,106,1.1,20230825,58
event_2021_kebbi_massacre,2021 Kebbi massacre,2021_Kebbi_massacre,2021,6,Nigeria,Sub-Saharan Africa,Middle East & Africa,conflict_terrorism,95,1852,19.49,40,5.0,20210608,80
event_2022_imo_rivers_explosion,2022 Imo-Rivers explosion,2022_Imo-Rivers_explosion,2022,4,Nigeria,Sub-Saharan Africa,Middle East & Africa,accident_disaster,253,1841,7.28,10,2.2,20220426,119
event_police_operations_in_the_2022_brazilian_general_election,Police operations in the 2022 Brazilian general election,Police_operations_in_the_2022_Brazilian_general_election,2022,10,Brazil,Latin America,Latin America,politics_elections,136,1800,13.24,26,1.7,20221103,71
event_uvalde_school_shooting,Uvalde school shooting,Uvalde_school_shooting,2022,5,United States,North America,Anglo-America & Oceania,conflict_terrorism,295,1577,5.35,9,1.5,20220525,180
event_2021_czech_parliamentary_election,2021 Czech parliamentary election,2021_Czech_parliamentary_election,2021,10,Czech Republic,Eastern Europe & Russia,Eastern Europe & Russia,politics_elections,161,1504,9.34,12,2.0,20211011,200
event_2021_uefa_champions_league_final,2021 UEFA Champions League final,2021_UEFA_Champions_League_final,2021,5,Portugal,Western Europe,Western Europe,sports,20,1362,68.1,266,2.7,20210603,195
event_royal_commission_into_defence_and_veteran_suicide,Royal Commission into Defence and Veteran Suicide,Royal_Commission_into_Defence_and_Veteran_Suicide,2021,7,Australia,Oceania,Anglo-America & Oceania,crime_legal,14,1019,72.79,229,3.2,20211129,121
event_2023_nuevo_laredo_military_shooting,2023 Nuevo Laredo military shooting,2023_Nuevo_Laredo_military_shooting,2023,2,Mexico,Latin America,Latin America,crime_legal,21,1007,47.95,162,3.5,20230607,123
